model_a,model_b,a_only_final_top10,b_only_final_top10,mcnemar_exact_p,holm_adjusted_p,holm_reject_0.05,bh_adjusted_p,bh_reject_0.05
Llama-3.1-8B,Mistral-7B,72,41,0.0045535564660325436,0.054642677592390526,False,0.017075836747622038,True
Llama-3.1-8B,Qwen2.5-14B,96,63,0.010924560691744871,0.10422962029359092,False,0.023409772910881865,True
Llama-3.1-8B,Qwen2.5-7B,110,53,9.466409561506919e-06,0.0001419961434226038,True,0.0001419961434226038,True
Llama-3.1-8B,Gemma-7B,57,57,1.0,1.0,False,1.0,False
Llama-3.1-8B,Pythia-6.9B,65,60,0.7206725161126959,1.0,False,0.8315452108992645,False
Mistral-7B,Qwen2.5-14B,83,81,0.9377905864446686,1.0,False,1.0,False
Mistral-7B,Qwen2.5-7B,96,70,0.0520057549969648,0.26002877498482396,False,0.07091693863222472,False
Mistral-7B,Gemma-7B,44,75,0.0057268619068842576,0.06299548097572684,False,0.017180585720652772,True
Mistral-7B,Pythia-6.9B,53,79,0.029171626999401616,0.2113881622171825,False,0.048619378332336025,True
Qwen2.5-14B,Qwen2.5-7B,66,42,0.026423520277147814,0.2113881622171825,False,0.048619378332336025,True
Qwen2.5-14B,Gemma-7B,62,95,0.010422962029359092,0.10422962029359092,False,0.023409772910881865,True
Qwen2.5-14B,Pythia-6.9B,68,96,0.03468069745563244,0.2113881622171825,False,0.05202104618344866,False
Qwen2.5-7B,Gemma-7B,60,117,2.19952869190665e-05,0.000307934016866931,True,0.00016496465189299876,True
Qwen2.5-7B,Pythia-6.9B,60,112,8.995434119544256e-05,0.0011694064355407532,True,0.0004497717059772128,True
Gemma-7B,Pythia-6.9B,65,60,0.7206725161126959,1.0,False,0.8315452108992645,False
