model_a,model_b,jointly_observed_n,model_a_mean_depth,model_b_mean_depth,model_a_earlier_n,model_b_earlier_n,ties_n,exact_sign_p,holm_adjusted_p,holm_reject_0.05
Llama-3.1-8B,Mistral-7B,548,0.8224224452554745,0.7821624087591241,147,340,61,1.161855254750811e-18,1.0456697292757299e-17,True
Llama-3.1-8B,Qwen2.5-14B,519,0.8271917148362236,0.8646034039820167,294,211,14,0.00025574360131412095,0.0017902052091988466,True
Llama-3.1-8B,Qwen2.5-7B,511,0.8271771037181996,0.8105255800950516,240,251,20,0.6518220167226141,1.0,False
Llama-3.1-8B,Gemma-7B,550,0.8282386363636364,0.8424675324675325,282,226,42,0.014597182844004176,0.07298591422002088,False
Llama-3.1-8B,Pythia-6.9B,546,0.8284111721611722,0.46422847985347987,114,419,13,5.808455062551847e-42,6.970146075062217e-41,True
Mistral-7B,Qwen2.5-14B,514,0.7852018482490273,0.8626783398184177,371,130,13,7.041579189265689e-28,7.04157918926569e-27,True
Mistral-7B,Qwen2.5-7B,507,0.7901257396449705,0.8115666384897153,273,224,10,0.031207983681154825,0.1248319347246193,False
Mistral-7B,Gemma-7B,545,0.7844036697247706,0.8456749672346002,300,220,25,0.0005194158496652891,0.003116495097991735,True
Mistral-7B,Pythia-6.9B,538,0.7871747211895911,0.45777184014869887,119,402,17,6.5793605811919395e-37,7.237296639311133e-36,True
Qwen2.5-14B,Qwen2.5-7B,525,0.8671031746031745,0.8165986394557824,252,267,6,0.5389047207361051,1.0,False
Qwen2.5-14B,Gemma-7B,524,0.8660543893129771,0.8394220283533261,248,268,8,0.40293699081517237,1.0,False
Qwen2.5-14B,Pythia-6.9B,525,0.8686904761904762,0.4568452380952381,103,418,4,5.3317146645480465e-46,6.931229063912461e-45,True
Qwen2.5-7B,Gemma-7B,516,0.8123615725359912,0.8343715393133998,261,169,86,1.0617757077934633e-05,8.494205662347707e-05,True
Qwen2.5-7B,Pythia-6.9B,518,0.8119829012686156,0.4486003861003861,69,427,22,4.6273486628620096e-64,6.478288128006813e-63,True
Gemma-7B,Pythia-6.9B,567,0.8398841017888637,0.44560185185185186,26,495,46,1.755699055405073e-113,2.6335485831076096e-112,True
