frequency_cut,model_a,model_b,stratum,ambiguous_membership_n,jointly_observed_n,model_a_mean_depth,model_b_mean_depth,model_a_earlier_n,model_b_earlier_n,ties_n,exact_sign_p,holm_adjusted_p,holm_reject_0.05
10,Llama-3.1-8B,Mistral-7B,frequent_types,1,367,0.8256982288828338,0.7861886920980926,94,234,39,6.3918519429364286e-15,5.113481554349143e-14,True
10,Llama-3.1-8B,Mistral-7B,tail_types,1,181,0.8157803867403315,0.7739986187845304,53,106,22,3.1841960470453966e-05,0.00015920980235226983,True
10,Llama-3.1-8B,Qwen2.5-14B,frequent_types,0,345,0.8322463768115942,0.8596014492753623,174,160,11,0.47693558443412304,0.9538711688682461,False
10,Llama-3.1-8B,Qwen2.5-14B,tail_types,0,174,0.8171695402298851,0.874521072796935,120,51,3,1.362837890972809e-07,8.177027345836853e-07,True
10,Llama-3.1-8B,Qwen2.5-7B,frequent_types,0,349,0.835243553008596,0.7525583299222267,109,228,12,8.304459388140357e-11,4.982675632884214e-10,True
10,Llama-3.1-8B,Qwen2.5-7B,tail_types,0,162,0.8097993827160493,0.935405643738977,131,23,8,1.4930470993636463e-19,1.4930470993636464e-18,True
10,Llama-3.1-8B,Gemma-7B,frequent_types,0,388,0.8321520618556701,0.7813880706921943,148,220,20,0.00020569387041495892,0.0010284693520747946,True
10,Llama-3.1-8B,Gemma-7B,tail_types,0,162,0.8188657407407407,0.9887566137566138,134,6,22,1.4083083788101097e-32,1.8308008924531426e-31,True
10,Llama-3.1-8B,Pythia-6.9B,frequent_types,0,392,0.8360172193877551,0.33322704081632654,26,360,6,2.5554458837385343e-76,3.066535060486241e-75,True
10,Llama-3.1-8B,Pythia-6.9B,tail_types,0,154,0.8090503246753247,0.7976866883116883,88,59,7,0.020605148179177937,0.061815444537533806,False
10,Mistral-7B,Qwen2.5-14B,frequent_types,1,336,0.7934337797619048,0.8563988095238095,238,87,11,2.2784356018706305e-17,2.0505920416835675e-16,True
10,Mistral-7B,Qwen2.5-14B,tail_types,1,177,0.7687146892655368,0.874882297551789,133,42,2,3.253056951900073e-12,2.2771398663300512e-11,True
10,Mistral-7B,Qwen2.5-7B,frequent_types,1,344,0.8015988372093024,0.7530107973421927,142,199,3,0.0023759873561292064,0.009503949424516826,True
10,Mistral-7B,Qwen2.5-7B,tail_types,1,163,0.7659125766871165,0.9351446099912355,131,25,7,1.5318895672120167e-18,1.378700610490815e-17,True
10,Mistral-7B,Gemma-7B,frequent_types,1,381,0.7929790026246719,0.7844019497562804,156,213,12,0.003497832893826694,0.010493498681480081,True
10,Mistral-7B,Gemma-7B,tail_types,1,163,0.763420245398773,0.9879491673970201,143,7,13,4.330280643440687e-34,6.201826922991888e-33,True
10,Mistral-7B,Pythia-6.9B,frequent_types,1,384,0.7950846354166666,0.3226725260416667,25,356,3,4.197270818550196e-76,4.616997900405215e-75,True
10,Mistral-7B,Pythia-6.9B,tail_types,1,154,0.7674512987012987,0.7946428571428571,94,46,14,6.10603214521753e-05,0.0002442412858087012,True
10,Qwen2.5-14B,Qwen2.5-7B,frequent_types,0,351,0.8634852801519468,0.7567155067155067,112,234,5,4.938528318327324e-11,3.4569698228291266e-10,True
10,Qwen2.5-14B,Qwen2.5-7B,tail_types,0,174,0.8744013409961686,0.9373973727422001,140,33,1,6.866538161525779e-17,5.493230529220623e-16,True
10,Qwen2.5-14B,Gemma-7B,frequent_types,0,362,0.862684162062615,0.7729873717442778,98,259,5,6.744655982682071e-18,6.744655982682071e-17,True
10,Qwen2.5-14B,Gemma-7B,tail_types,0,162,0.8735853909465019,0.9878747795414462,150,9,3,4.134551281994592e-34,6.201826922991888e-33,True
10,Qwen2.5-14B,Pythia-6.9B,frequent_types,0,367,0.8658038147138964,0.31360694822888285,20,346,1,6.363233353940931e-78,8.27220336012321e-77,True
10,Qwen2.5-14B,Pythia-6.9B,tail_types,0,158,0.8753955696202531,0.7895569620253164,83,72,3,0.4219388330129739,0.4219388330129739,False
10,Qwen2.5-7B,Gemma-7B,frequent_types,0,367,0.7628454651615413,0.7716037368625925,158,161,48,0.9108634592108216,0.9538711688682461,False
10,Qwen2.5-7B,Gemma-7B,tail_types,0,149,0.9343240651965484,0.9889741131351868,103,8,38,3.681528239938514e-22,4.0496810639323655e-21,True
10,Qwen2.5-7B,Pythia-6.9B,frequent_types,0,373,0.7648410570662582,0.30755697050938335,15,354,4,3.1865281670342696e-85,4.461139433847977e-84,True
10,Qwen2.5-7B,Pythia-6.9B,tail_types,0,145,0.9332512315270934,0.8114224137931034,54,73,18,0.10984950256605948,0.21969900513211896,False
10,Gemma-7B,Pythia-6.9B,frequent_types,0,424,0.7895889487870621,0.33424233490566035,24,389,11,4.981285789825737e-86,7.471928684738606e-85,True
10,Gemma-7B,Pythia-6.9B,tail_types,0,143,0.9890109890109889,0.7757867132867133,2,106,35,3.6281438664344504e-29,4.3537726397213405e-28,True
