model,n,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,entered_then_disappeared_pct,entered_then_disappeared_ci_low,entered_then_disappeared_ci_high,mean_first_depth_observed,mean_persistent_depth_final
Llama-3.1-8B,817,1,0.3243574051407589,0.2931438680921841,0.35721492298016994,0.675642594859241,0.2594859241126071,0.23060276908892793,0.29062024447007967,0.10159118727050184,0.08270448127899382,0.12420692286073612,0.06487148102815178,0.04993596521132712,0.08387971580764061,0.917688679245283,0.9550412735849056
Llama-3.1-8B,817,3,0.5373317013463892,0.5030471080321248,0.5712668771406499,0.4626682986536108,0.4944920440636475,0.46031497638271596,0.5287206651491697,0.1554467564259486,0.13221990583134946,0.18189855888549838,0.042839657282741736,0.0309622034475509,0.058996043698959465,0.8543564920273349,0.9180847772277227
Llama-3.1-8B,817,5,0.6291309669522643,0.5954766148134535,0.6615766781612268,0.37086903304773566,0.5924112607099143,0.5583603780732914,0.6255971917806268,0.15055079559363524,0.12766751489428432,0.17670485340646183,0.03671970624235006,0.025840388893085785,0.05193523773329755,0.847397859922179,0.8941115702479339
Llama-3.1-8B,817,10,0.7380660954712362,0.7068524434923175,0.7670514947406243,0.26193390452876375,0.7172582619339045,0.6854176141901058,0.747065414274404,0.15177478580171358,0.12880479524282443,0.17800409716194718,0.0208078335373317,0.013031347378838036,0.03306946589521501,0.8328669154228856,0.8647610921501706
Llama-3.1-8B,817,20,0.8225214198286414,0.7948309468541849,0.8471931545565098,0.17747858017135865,0.8041615667074663,0.7755527511817427,0.8299234886685708,0.22031823745410037,0.1932437075859218,0.2500105346442726,0.01835985312117503,0.011157378527103879,0.03007038653889836,0.7373511904761905,0.8418949771689498
Llama-3.1-8B,817,50,0.9008567931456548,0.878450371960455,0.9195112721078659,0.09914320685434519,0.8947368421052632,0.871813953311558,0.9139650702366359,0.25091799265605874,0.22240228378000818,0.2817650610508214,0.006119951040391677,0.002616826651954736,0.014245697373793425,0.6747622282608695,0.8086525307797537
Llama-3.1-8B,817,100,0.9388004895960832,0.9202213040947858,0.9532725871983228,0.0611995104039168,0.9339045287637698,0.914756677696333,0.9489911171806737,0.2582619339045288,0.22943035351039287,0.2893561359445892,0.004895960832313341,0.0019055415036716523,0.012520458418051102,0.6545795306388527,0.7843627129750983
Mistral-7B,817,1,0.2913096695226438,0.26118789276926635,0.3233847474944017,0.7086903304773562,0.22643818849449204,0.19905854064550113,0.25637832210482026,0.09057527539779682,0.07276416699067283,0.11221852021282845,0.06487148102815178,0.04993596521132712,0.08387971580764061,0.9009978991596639,0.9459459459459459
Mistral-7B,817,3,0.5263157894736842,0.4920349100541424,0.5603503581824038,0.4736842105263158,0.4541003671970624,0.4202540146985861,0.48837633140046116,0.14443084455324356,0.12198953497917397,0.17020021280144515,0.07221542227662178,0.056397110841103035,0.09203771480201713,0.8259447674418605,0.8821597035040432
Mistral-7B,817,5,0.620563035495716,0.5867983642055297,0.6531992600409728,0.379436964504284,0.554467564259486,0.5202103539019174,0.5882149687272133,0.15055079559363524,0.12766751489428432,0.17670485340646183,0.06609547123623011,0.05100888281932621,0.08524332230366692,0.815766765285996,0.8601683222958058
Mistral-7B,817,10,0.7319461444308446,0.7005393798347107,0.7611819378781041,0.2680538555691554,0.6793145654834761,0.6465347610890704,0.7104160201506518,0.18482252141982863,0.15970307364960512,0.21289196956385248,0.05263157894736842,0.039306714159911355,0.07014372581880227,0.7880434782608695,0.8345720720720721
Mistral-7B,817,20,0.8200734394124847,0.7922548595545645,0.8448961936480793,0.17992656058751533,0.7906976744186046,0.7614741654790198,0.8172003092270144,0.21542227662178703,0.18859825640515754,0.24490988940893527,0.02937576499388005,0.019818641052850423,0.04333784094938047,0.757695895522388,0.8059694272445821
Mistral-7B,817,50,0.8959608323133414,0.8731394376681606,0.9150761099840586,0.10403916768665855,0.8739290085679314,0.8494044984690118,0.8949536153107501,0.24479804161566707,0.21655413297473056,0.2754305913359719,0.022031823745410038,0.013980877213879214,0.03455646016419924,0.7120474726775956,0.757484243697479
Mistral-7B,817,100,0.9485924112607099,0.9312410868845975,0.9617449972407142,0.05140758873929008,0.9265605875152999,0.906607875519161,0.9425207747336936,0.22888616891064872,0.2013869157765771,0.2589229951817951,0.022031823745410038,0.013980877213879214,0.03455646016419924,0.6839516129032258,0.7189976882430648
Qwen2.5-14B,817,1,0.34761321909424725,0.3157409635743686,0.3809117854744682,0.6523867809057528,0.24357405140758873,0.21538545658049607,0.27416274362618104,0.1701346389228886,0.14592700243412107,0.19742975153103162,0.10403916768665851,0.08492389001594136,0.1268605623318394,0.9180604460093897,0.9545644891122278
Qwen2.5-14B,817,3,0.5581395348837209,0.5238934740156292,0.5918414209255777,0.4418604651162791,0.43329253365973075,0.39970415330020437,0.46750528303041095,0.21909424724602203,0.19208180382284412,0.24873591430332487,0.12484700122399021,0.1039220784773553,0.1492832836388574,0.8916301169590642,0.93049670433145
