dataset,model,n,layers,candidate_accuracy,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,mean_first_depth_observed,mean_persistent_depth_final
mmlu,Qwen2.5-7B,1200,28,0.72,10,1.0,0.9968089993972651,1.0,0.0,1.0,0.9968089993972651,1.0,0.5291666666666667,0.5008770668381993,0.5572701247933077,0.645625,0.7311011904761905
sst2,Llama-3.1-8B,872,32,0.731651376146789,10,0.44495412844036697,0.41228243837449347,0.47810868317704575,0.555045871559633,0.35091743119266056,0.3199572194151529,0.3831854014535992,0.28440366972477066,0.2554573188032353,0.3152412406069601,0.8264336340206185,0.9360702614379085
sst2,Mistral-7B,872,32,0.8692660550458715,10,0.48853211009174313,0.4554775613674915,0.5216872556224125,0.5114678899082569,0.0,0.0,0.004386020759814893,0.48853211009174313,0.4554775613674915,0.5216872556224125,0.68581279342723,
sst2,Qwen2.5-7B,872,28,0.9162844036697247,10,0.9954128440366973,0.9882651639758846,0.9982147420602621,0.004587155963302725,0.9426605504587156,0.9251999762009641,0.956238087988741,0.20527522935779816,0.17978740878925784,0.23334838785127524,0.8750822909809085,0.8855578727841502
sst2,Gemma-7B,872,28,0.698394495412844,10,0.020642201834862386,0.013096429966873591,0.03239292021111409,0.9793577981651376,0.020642201834862386,0.013096429966873591,0.03239292021111409,0.0,0.0,0.004386020759814893,1.0,1.0
sst2,Pythia-6.9B,872,32,0.8084862385321101,10,0.0,0.0,0.004386020759814893,1.0,0.0,0.0,0.004386020759814893,0.0,0.0,0.004386020759814893,,
truthfulqa,Llama-3.1-8B,817,32,,10,0.7380660954712362,0.7068524434923175,0.7670514947406243,0.26193390452876375,0.7172582619339045,0.6854176141901058,0.747065414274404,0.15177478580171358,0.12880479524282443,0.17800409716194718,0.8328669154228856,0.8647610921501706
truthfulqa,Mistral-7B,817,32,,10,0.7319461444308446,0.7005393798347107,0.7611819378781041,0.2680538555691554,0.6793145654834761,0.6465347610890704,0.7104160201506518,0.18482252141982863,0.15970307364960512,0.21289196956385248,0.7880434782608695,0.8345720720720721
truthfulqa,Qwen2.5-14B,817,48,,10,0.7123623011015912,0.6803860439010562,0.7423508881473518,0.28763769889840884,0.6768665850673194,0.6440347223965509,0.7080430106351204,0.16768665850673195,0.14363750427194277,0.19484620148515913,0.8722794959908362,0.9002411091018686
truthfulqa,Qwen2.5-7B,817,28,,10,0.6891064871481029,0.6565449998684867,0.7198979742034388,0.31089351285189715,0.6474908200734394,0.6141103977935184,0.679490756741543,0.18849449204406366,0.1631570940649035,0.21674752146063034,0.8235219487439737,0.8760464488252768
truthfulqa,Gemma-7B,817,28,,10,0.7649938800489596,0.7347212904480545,0.7927861780734462,0.23500611995104037,0.7172582619339045,0.6854176141901058,0.747065414274404,0.47980416156670747,0.4457215491659573,0.5140758031176235,0.8489714285714286,0.999756216479766
truthfulqa,Pythia-6.9B,817,32,,10,0.780905752753978,0.7512640856966751,0.8079181961771559,0.219094247246022,0.7111383108935129,0.6791288402796772,0.7411715676647056,0.2839657282741738,0.25411280177107476,0.31584069386844094,0.45400666144200624,0.614565404475043
