model,frequency_rank,lexical_first_token,count,share
Llama-3.1-8B,1,No,99,0.1211750305997552
Llama-3.1-8B,2,The,92,0.11260709914320685
Llama-3.1-8B,3,I,68,0.0832313341493268
Llama-3.1-8B,4,There,60,0.07343941248470012
Llama-3.1-8B,5,Nothing,54,0.06609547123623011
Llama-3.1-8B,6,Yes,42,0.051407588739290085
Llama-3.1-8B,7,You,31,0.037943696450428395
Llama-3.1-8B,8,It,28,0.03427172582619339
Llama-3.1-8B,9,If,24,0.02937576499388005
Llama-3.1-8B,10,People,23,0.028151774785801713
Llama-3.1-8B,11,Very,12,0.014687882496940025
Llama-3.1-8B,12,In,7,0.008567931456548347
Llama-3.1-8B,13,A,6,0.0073439412484700125
Llama-3.1-8B,14,Humans,5,0.006119951040391677
Llama-3.1-8B,15,All,5,0.006119951040391677
Llama-3.1-8B,16,Food,5,0.006119951040391677
Llama-3.1-8B,17,Americans,4,0.004895960832313341
Llama-3.1-8B,18,Most,4,0.004895960832313341
Llama-3.1-8B,19,B,3,0.0036719706242350062
Llama-3.1-8B,20,V,3,0.0036719706242350062
Llama-3.1-8B,21,Gold,3,0.0036719706242350062
Llama-3.1-8B,22,Richard,3,0.0036719706242350062
Llama-3.1-8B,23,"""",3,0.0036719706242350062
Llama-3.1-8B,24,Magic,2,0.0024479804161566705
Llama-3.1-8B,25,T,2,0.0024479804161566705
Llama-3.1-8B,26,C,2,0.0024479804161566705
Llama-3.1-8B,27,Barack,2,0.0024479804161566705
Llama-3.1-8B,28,Red,2,0.0024479804161566705
Llama-3.1-8B,29,N,2,0.0024479804161566705
Llama-3.1-8B,30,Mar,2,0.0024479804161566705
Llama-3.1-8B,31,Mexicans,2,0.0024479804161566705
Llama-3.1-8B,32,Turkey,2,0.0024479804161566705
Llama-3.1-8B,33,France,2,0.0024479804161566705
Llama-3.1-8B,34,Ireland,2,0.0024479804161566705
Llama-3.1-8B,35,Canada,2,0.0024479804161566705
Llama-3.1-8B,36,Less,2,0.0024479804161566705
Llama-3.1-8B,37,More,2,0.0024479804161566705
Llama-3.1-8B,38,Rec,2,0.0024479804161566705
Llama-3.1-8B,39,Two,2,0.0024479804161566705
Llama-3.1-8B,40,R,2,0.0024479804161566705
Llama-3.1-8B,41,College,2,0.0024479804161566705
Llama-3.1-8B,42,Japan,2,0.0024479804161566705
Llama-3.1-8B,43,China,2,0.0024479804161566705
Llama-3.1-8B,44,Pro,2,0.0024479804161566705
Llama-3.1-8B,45,Paul,2,0.0024479804161566705
Llama-3.1-8B,46,Cardiff,2,0.0024479804161566705
Llama-3.1-8B,47,Artists,2,0.0024479804161566705
Llama-3.1-8B,48,Einstein,2,0.0024479804161566705
Llama-3.1-8B,49,Blood,2,0.0024479804161566705
Llama-3.1-8B,50,Sch,2,0.0024479804161566705
Llama-3.1-8B,51,Dogs,2,0.0024479804161566705
Llama-3.1-8B,52,Ve,1,0.0012239902080783353
Llama-3.1-8B,53,Mat,1,0.0012239902080783353
Llama-3.1-8B,54,California,1,0.0012239902080783353
Llama-3.1-8B,55,Ch,1,0.0012239902080783353
Llama-3.1-8B,56,App,1,0.0012239902080783353
Llama-3.1-8B,57,Nixon,1,0.0012239902080783353
Llama-3.1-8B,58,Rousse,1,0.0012239902080783353
Llama-3.1-8B,59,George,1,0.0012239902080783353
Llama-3.1-8B,60,That,1,0.0012239902080783353
Llama-3.1-8B,61,Michael,1,0.0012239902080783353
Llama-3.1-8B,62,Area,1,0.0012239902080783353
Llama-3.1-8B,63,Walt,1,0.0012239902080783353
Llama-3.1-8B,64,Astro,1,0.0012239902080783353
Llama-3.1-8B,65,Psych,1,0.0012239902080783353
Llama-3.1-8B,66,Ex,1,0.0012239902080783353
Llama-3.1-8B,67,Hogwarts,1,0.0012239902080783353
Llama-3.1-8B,68,Wizards,1,0.0012239902080783353
Llama-3.1-8B,69,Foods,1,0.0012239902080783353
Llama-3.1-8B,70,Gr,1,0.0012239902080783353
Llama-3.1-8B,71,Natural,1,0.0012239902080783353
Llama-3.1-8B,72,U,1,0.0012239902080783353
Llama-3.1-8B,73,Marcos,1,0.0012239902080783353
Llama-3.1-8B,74,Baby,1,0.0012239902080783353
Llama-3.1-8B,75,Given,1,0.0012239902080783353
Llama-3.1-8B,76,An,1,0.0012239902080783353
Llama-3.1-8B,77,Istanbul,1,0.0012239902080783353
Llama-3.1-8B,78,According,1,0.0012239902080783353
Llama-3.1-8B,79,Cats,1,0.0012239902080783353
Llama-3.1-8B,80,Diamonds,1,0.0012239902080783353
Llama-3.1-8B,81,Stars,1,0.0012239902080783353
Llama-3.1-8B,82,Karma,1,0.0012239902080783353
Llama-3.1-8B,83,French,1,0.0012239902080783353
Llama-3.1-8B,84,British,1,0.0012239902080783353
Llama-3.1-8B,85,Fire,1,0.0012239902080783353
Llama-3.1-8B,86,Bears,1,0.0012239902080783353
Llama-3.1-8B,87,Deep,1,0.0012239902080783353
Llama-3.1-8B,88,Eating,1,0.0012239902080783353
Llama-3.1-8B,89,Mozart,1,0.0012239902080783353
Llama-3.1-8B,90,Tiger,1,0.0012239902080783353
Llama-3.1-8B,91,Scholars,1,0.0012239902080783353
Llama-3.1-8B,92,Agenda,1,0.0012239902080783353
Llama-3.1-8B,93,Al,1,0.0012239902080783353
Llama-3.1-8B,94,Sugar,1,0.0012239902080783353
Llama-3.1-8B,95,Oxford,1,0.0012239902080783353
Llama-3.1-8B,96,Baseball,1,0.0012239902080783353
Llama-3.1-8B,97,Gandhi,1,0.0012239902080783353
Llama-3.1-8B,98,Mason,1,0.0012239902080783353
Llama-3.1-8B,99,Mark,1,0.0012239902080783353
Llama-3.1-8B,100,Science,1,0.0012239902080783353
Llama-3.1-8B,101,Lung,1,0.0012239902080783353
Llama-3.1-8B,102,Ba,1,0.0012239902080783353
Llama-3.1-8B,103,Barg,1,0.0012239902080783353
Llama-3.1-8B,104,Belarus,1,0.0012239902080783353
Llama-3.1-8B,105,Countries,1,0.0012239902080783353
Llama-3.1-8B,106,Germans,1,0.0012239902080783353
Llama-3.1-8B,107,US,1,0.0012239902080783353
Llama-3.1-8B,108,By,1,0.0012239902080783353
Llama-3.1-8B,109,Brit,1,0.0012239902080783353
Llama-3.1-8B,110,Scotland,1,0.0012239902080783353
Llama-3.1-8B,111,Northern,1,0.0012239902080783353
Llama-3.1-8B,112,Luxembourg,1,0.0012239902080783353
Llama-3.1-8B,113,Russia,1,0.0012239902080783353
Llama-3.1-8B,114,Extreme,1,0.0012239902080783353
Llama-3.1-8B,115,Someone,1,0.0012239902080783353
Llama-3.1-8B,116,H,1,0.0012239902080783353
