dataset,model,n_samples,n_layers,observed_pct,never_observed_pct,final_top10_pct,dropout_after_entry_pct,mean_first_fep,mean_first_fep_depth,mean_persistent_fep,candidate_accuracy_pct
truthfulqa,Qwen2.5-7B,817,28,68.91,31.09,64.75,18.85,23.06,0.824,24.53,
truthfulqa,Qwen2.5-14B,817,48,71.24,28.76,67.69,16.77,41.87,0.872,43.21,
truthfulqa,Llama-3.1-8B,817,32,73.81,26.19,71.73,15.18,26.65,0.833,27.67,
truthfulqa,Mistral-7B-v0.1,817,32,73.19,26.81,67.93,18.48,25.22,0.788,26.71,
truthfulqa,Pythia-6.9B,817,32,78.09,21.91,71.11,28.40,14.53,0.454,19.67,
truthfulqa,Gemma-7B,817,28,76.50,23.50,71.73,47.98,23.77,0.849,27.99,
mmlu,Qwen2.5-7B,1200,28,100.00,0.00,100.00,52.92,18.08,0.646,20.47,72.00
sst2,Qwen2.5-7B,872,28,99.54,0.46,94.27,20.53,24.50,0.875,24.80,91.63
sst2,Mistral-7B-v0.1,872,32,48.85,51.15,0.00,48.85,21.95,0.686,,86.93
sst2,Llama-3.1-8B,872,32,44.50,55.50,35.09,28.44,26.45,0.826,29.95,73.17
sst2,Pythia-6.9B,872,32,0.00,100.00,0.00,0.00,,,,80.85
sst2,Gemma-7B,872,28,2.06,97.94,2.06,0.00,28.00,1.000,28.00,69.84
